movie_name,total_WW_cls,hero_name,verdict,day1_WW_Gross_cr,year_of_release
Nannaku Prematho,N/A,Jr NTR,N/A,N/A,N/A
Jai Lava Kusa,N/A,Jr NTR,N/A,N/A,N/A
Aravinda Sametha,N/A,Jr NTR,N/A,N/A,N/A
Devara,N/A,Jr NTR,N/A,N/A,N/A
Baadshah,N/A,Jr NTR,N/A,N/A,N/A
Ramayya Vastavayya,N/A,Jr NTR,N/A,N/A,N/A
Evaru Meelo Koteeswarudu,N/A,Jr NTR,N/A,N/A,N/A
Rajakumarudu,N/A,Mahesh Babu,N/A,N/A,N/A
Yuvaraju,N/A,Mahesh Babu,N/A,N/A,N/A
Vamsi,N/A,Mahesh Babu,N/A,N/A,N/A
Okkadu,N/A,Mahesh Babu,N/A,N/A,N/A
Nijam,N/A,Mahesh Babu,N/A,N/A,N/A
Neeku Nenu Naku Nuvvu,N/A,Mahesh Babu,N/A,N/A,N/A
Athadu,N/A,Mahesh Babu,N/A,N/A,N/A
Pokiri,N/A,Mahesh Babu,N/A,N/A,N/A
Sainikudu,N/A,Mahesh Babu,N/A,N/A,N/A
Dhookudu,N/A,Mahesh Babu,N/A,N/A,N/A
Businessman,N/A,Mahesh Babu,N/A,N/A,N/A
Seethamma Vakitlo Sirimalle Chettu,N/A,Mahesh Babu,N/A,N/A,N/A
1 Nenokkadine,N/A,Mahesh Babu,N/A,N/A,N/A
Aagadu,N/A,Mahesh Babu,N/A,N/A,N/A
Srimanthudu,N/A,Mahesh Babu,N/A,N/A,N/A
Bharat Ane Nenu,225 Cr,Mahesh Babu,Hit,N/A,2018
Maharshi,N/A,Mahesh Babu,N/A,N/A,N/A
Sarileru Neekevvaru,260 Cr,Mahesh Babu,Hit,N/A,2020
Sarkaru Vaari Paata,N/A,Mahesh Babu,N/A,N/A,N/A
Guntur Kaaram,N/A,Mahesh Babu,N/A,N/A,N/A
Spyder,N/A,Mahesh Babu,N/A,N/A,N/A
Akkada Ammayi Ikkada Abbayi,N/A,Pawan Kalyan,N/A,N/A,N/A
Tholi Prema,N/A,Pawan Kalyan,N/A,N/A,N/A
Thammudu,N/A,Pawan Kalyan,N/A,N/A,N/A
Badri,N/A,Pawan Kalyan,N/A,N/A,N/A
Kushi,N/A,Pawan Kalyan,N/A,N/A,N/A
Johnny,N/A,Pawan Kalyan,N/A,N/A,N/A
Gudumba Shankar,N/A,Pawan Kalyan,N/A,N/A,N/A
Balu ABCDEFG,N/A,Pawan Kalyan,N/A,N/A,N/A
Bangaram,N/A,Pawan Kalyan,N/A,N/A,N/A
Annavaram,N/A,Pawan Kalyan,N/A,N/A,N/A
Shankar Dada MBBS,N/A,Pawan Kalyan,N/A,N/A,N/A
Katamarayudu,N/A,Pawan Kalyan,N/A,N/A,N/A
Agnyaathavaasi,N/A,Pawan Kalyan,N/A,N/A,N/A
Vakeel Saab,N/A,Pawan Kalyan,N/A,N/A,N/A
Bheemla Nayak,N/A,Pawan Kalyan,N/A,N/A,N/A
They Call Him OG,296.825 Cr,Pawan Kalyan,Hit,154 Cr,2025
Attarintiki Daredi,N/A,Pawan Kalyan,N/A,N/A,N/A
Gabbar Singh,N/A,Pawan Kalyan,N/A,N/A,N/A
Cameraman Gangatho Rambabu,N/A,Pawan Kalyan,N/A,N/A,N/A
Teen Maar,N/A,Pawan Kalyan,N/A,N/A,N/A
Eeswar,N/A,Prabhas,N/A,N/A,N/A
Raghavendra,N/A,Prabhas,N/A,N/A,N/A
Varsham,N/A,Prabhas,N/A,N/A,N/A
Adavi Ramudu,N/A,Prabhas,N/A,N/A,N/A
Chatrapathi,N/A,Prabhas,N/A,N/A,N/A
Bujjigadu,N/A,Prabhas,N/A,N/A,N/A
Billa,N/A,Prabhas,N/A,N/A,N/A
Mirchi,N/A,Prabhas,N/A,N/A,N/A
Baahubali: The Beginning,624.86 Cr,Prabhas,All Time Blockbuster,N/A,2015
Baahubali 2: The Conclusion,1810.60 Cr,Prabhas,All Time Blockbuster,214 Cr,2017
Saaho,429 Cr,Prabhas,Average,N/A,2019
Radhe Shyam,N/A,Prabhas,N/A,N/A,N/A
Adipurush,381.35 Cr,Prabhas,Flop,N/A,2023
Salaar,N/A,Prabhas,N/A,N/A,N/A
Kalki 2898 AD,1076 Cr,Prabhas,Blockbuster,180 Cr,2024
Darling,N/A,Prabhas,N/A,N/A,N/A
Mr. Perfect,N/A,Prabhas,N/A,N/A,N/A
Chirutha,N/A,Ram Charan,N/A,N/A,N/A
Magadheera,N/A,Ram Charan,N/A,N/A,N/A
Orange,N/A,Ram Charan,N/A,N/A,N/A
Leader,N/A,Ram Charan,N/A,N/A,N/A
Racha,N/A,Ram Charan,N/A,N/A,N/A
Naayak,N/A,Ram Charan,N/A,N/A,N/A
Zanjeer,N/A,Ram Charan,N/A,N/A,N/A
Yevadu,N/A,Ram Charan,N/A,N/A,N/A
Govindudu Andarivadele,N/A,Ram Charan,N/A,N/A,N/A
Dhruva,N/A,Ram Charan,N/A,N/A,N/A
Rangasthalam,216 Cr,Ram Charan,Blockbuster,N/A,2018
Vinaya Vidheya Rama,N/A,Ram Charan,N/A,N/A,N/A
Acharya,N/A,Ram Charan,N/A,N/A,N/A
RRR,1323.5 Cr,Ram Charan,All Time Blockbuster,223 Cr,2022
Bruce Lee,N/A,Ram Charan,N/A,N/A,N/A
Toofaan,N/A,Ram Charan,N/A,N/A,N/A
Game Changer,N/A,Ram Charan,N/A,N/A,N/A
